,"Country, Other",ratio,lat,lng,Total Cases,Deaths/ 1M pop,percent
7,World,3.28,-32.90059999999994,-68.79253999999997,26721003,112.5,50.0
8,USA,3.01,39.39870315600007,-99.41461918999994,6377235,579.0,12.0
9,Brazil,3.07,-10.769946428999958,-53.073466888999974,4091801,590.0,8.0
10,India,1.73,23.379379735000043,79.44332654800007,4020239,50.0,8.0
11,Russia,1.74,61.989526183000066,96.80537153400007,1015105,121.0,2.0
12,Peru,4.39,-9.999999999999943,-75.99999999999994,670145,890.0,1.0
13,Colombia,3.21,3.901115804000028,-73.07575492399997,641574,404.0,1.0
14,South Africa,2.31,-28.997182287999976,25.085049940000033,635078,247.0,1.0
15,Mexico,10.75,23.952824990000067,-102.54835341899997,616894,514.0,1.0
16,Spain,5.9,40.227949660000036,-3.6460631049999392,498989,629.0,1.0
17,Argentina,2.1,-35.49575818399995,-65.07154210799996,451198,209.0,1.0
18,Chile,2.75,-29.999999999999943,-70.99999999999994,418469,600.0,1.0
19,Iran,5.76,32.55801995200005,54.305910263000044,382772,262.0,1.0
20,UK,12.13,53.40838660500003,-1.9695595439999352,342351,611.0,1.0
21,Bangladesh,1.37,23.804670475000023,90.28845390100008,321615,27.0,1.0
22,Saudi Arabia,1.26,24.12136952900005,44.548827060000065,319141,115.0,1.0
23,France,9.93,46.55941704400004,2.5505399530000545,309156,470.0,1.0
24,Pakistan,2.13,30.314282999000056,70.21010363900007,297512,29.0,1.0
25,Turkey,2.37,39.066250645000025,35.142286272000035,276555,78.0,1.0
26,Italy,12.93,42.833330000000046,12.833330000000046,274644,588.0,1.0
27,Iraq,2.92,33.03897467000007,43.77717241800008,252075,182.0,0.0
28,Germany,3.76,51.11063104900006,10.39227793200007,250281,112.0,0.0
29,Philippines,1.61,14.164862797000069,120.8616300000001,232072,34.0,0.0
30,Indonesia,4.18,-0.989818181999965,113.91586500000005,187537,29.0,0.0
31,Ukraine,2.11,49.02689837500003,31.374926053000024,130951,63.0,0.0
32,Canada,6.99,60.108670000000075,-113.64257999999995,130825,242.0,0.0
33,Israel,0.79,31.97771151200004,34.97921769200008,126419,108.0,0.0
34,Qatar,0.17,25.285444965000067,51.19314832400005,119637,72.0,0.0
35,Bolivia,4.45,-16.67085566199995,-64.59749402799997,118781,452.0,0.0
36,Ecuador,5.7,-1.428836290999925,-78.77523855199996,117175,377.0,0.0
37,Kazakhstan,1.5,48.18310616400004,67.19504548200007,106121,84.0,0.0
38,Egypt,5.51,26.512273493000066,29.870494860000065,99425,53.0,0.0
39,Dominican Republic,1.86,18.89668483400004,-70.49003617099999,96629,166.0,0.0
40,Panama,2.16,8.939604460000055,-79.97292613699994,94914,473.0,0.0
41,Romania,4.12,45.845854975000066,24.973472215000072,92595,198.0,0.0
42,Kuwait,0.61,29.355337252000027,47.61216588100007,88243,125.0,0.0
43,Belgium,11.44,50.640682937000065,4.661070427000027,86544,853.0,0.0
44,Oman,0.82,20.59793733300006,56.10497815300005,86380,137.0,0.0
45,Sweden,6.87,64.71258554700006,17.260487956000077,84985,577.0,0.0
46,Guatemala,3.67,15.697237961000042,-90.36397945999994,76358,156.0,0.0
47,Netherlands,8.52,52.24937529300007,5.616126398000063,73208,364.0,0.0
48,UAE,0.53,23.914869621000037,54.32685818400006,72766,39.0,0.0
49,Belarus,0.97,53.542208696000046,28.050095379000027,72485,74.0,0.0
50,Poland,3.01,52.12379015400006,19.39876898600005,69820,55.0,0.0
51,Japan,1.9,36.655226998000046,139.27149500000007,69599,10.0,0.0
52,Morocco,1.88,32.00000000000006,-4.999999999999943,68605,35.0,0.0
53,Honduras,3.09,14.824173968000025,-86.60026424299997,63158,197.0,0.0
54,Portugal,3.08,39.59313904600003,-8.519812989999934,59457,180.0,0.0
55,Singapore,0.05,1.2904100000000653,103.85211000000004,56948,5.0,0.0
56,Ethiopia,1.56,8.619088938000061,39.644750130000034,56516,8.0,0.0
57,Nigeria,1.92,9.593696882000074,8.106777828000077,54587,5.0,0.0
58,Bahrain,0.36,26.05185877400004,50.564426954000055,53433,114.0,0.0
59,Venezuela,0.81,7.120733800000039,-66.16282028899997,49877,14.0,0.0
60,Algeria,3.36,28.144113769000057,2.6799659330000623,45773,35.0,0.0
61,Costa Rica,1.03,9.972837179000066,-84.19631843899998,45680,92.0,0.0
62,Ghana,0.63,7.980995107000069,-1.2497723419999716,44713,9.0,0.0
63,Armenia,2.0,40.293084855000075,44.94022131100007,44461,301.0,0.0
