,floor,szhil,skitchen,roof_heigh,rooms,plan,sanuzel,balcon,type_remont,type_build,vtor_perv,price_meter,price_object,xlon,ylat,Tashkent,min_eucl
9009,4,53.0,0.0,0.0,2.0,Смежная,Совмещенный,1.0,Средний,,Вторичный рынок,575.47,30500.0,69.20438,41.269870000000004,True,0.004690757934486118
9010,5,80.0,0.0,0.0,3.0,,,1.0,Средний,,Вторичный рынок,525.0,42000.0,69.20438,41.269870000000004,True,0.004690757934486118
9011,4,82.0,0.0,0.0,4.0,,,0.0,,,Вторичный рынок,817.07,67000.0,69.28534698,41.35507202,True,0.003106502766904052
9012,4,48.0,0.0,0.0,2.0,Смежная,Раздельный,0.0,,Панельный,Вторичный рынок,742.81,35655.0,69.20692999,41.26871488,True,0.006230093167402998
9013,4,55.0,0.0,0.0,2.0,,Раздельный,1.0,Средний,Панельный,Вторичный рынок,516.36,28400.0,69.20438,41.269870000000004,True,0.004690757934486118
9014,4,71.0,0.0,0.0,3.0,,Раздельный,0.0,Евроремонт,Панельный,Вторичный рынок,774.65,55000.0,69.28534356,41.35507246,True,0.003109815615945353
9015,9,80.0,0.0,0.0,2.0,Раздельная,Раздельный,1.0,Средний,Кирпичный,Вторичный рынок,806.25,64500.0,69.27937,41.2826,True,0.011700585284507316
9016,9,90.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Авторский проект,Панельный,Вторичный рынок,1500.0,135000.0,69.2993978,41.26207656,True,0.03284926388754265
9017,4,50.0,0.0,0.0,2.0,,,0.0,Евроремонт,,Вторичный рынок,690.0,34500.0,69.21097945,41.27290226,True,0.006453556063907562
9018,4,80.0,0.0,0.0,3.0,Раздельная,Раздельный,1.0,Средний,Кирпичный,Вторичный рынок,656.25,52500.0,69.27937,41.2826,True,0.011700585284507316
9021,4,90.0,0.0,0.0,3.0,Раздельная,Раздельный,0.0,Средний,Панельный,Вторичный рынок,732.22,65900.0,69.34586999999999,41.33612,True,0.020572223433542192
9023,9,128.0,0.0,3.2,3.0,,,0.0,Требует ремонта,Панельный,Вторичный рынок,624.22,79900.0,69.29648,41.27485,True,0.02013739546217117
9024,8,100.0,0.0,0.0,3.0,Раздельная,Раздельный,0.0,Черновая отделка,Кирпичный,Новостройки,590.0,59000.0,69.298091,41.2507097,True,0.04311294251949922
9026,4,80.0,0.0,0.0,4.0,,,0.0,,,Вторичный рынок,725.0,58000.0,69.28534356,41.35507246,True,0.003109815615945353
9027,6,175.0,0.0,3.2,4.0,Раздельная,2 санузла и более,1.0,,Кирпичный,Новостройки,885.71,155000.0,69.24348,41.28218,True,0.02241700577686989
9028,5,70.0,0.0,0.0,3.0,Раздельная,,1.0,Средний,,Вторичный рынок,595.71,41700.0,69.22195856,41.27701829,True,0.010769712320105094
9029,4,50.0,0.0,0.0,2.0,Раздельная,Раздельный,1.0,Средний,Панельный,Вторичный рынок,609.32,30466.0,69.21301190000001,41.26411896,True,0.013311081573326696
9030,4,95.0,0.0,0.0,4.0,Раздельная,Раздельный,1.0,Евроремонт,Кирпичный,Вторичный рынок,894.74,85000.0,69.33974124,41.26849488,True,0.03029998610613344
9031,4,43.0,0.0,0.0,2.0,,Раздельный,0.0,,Панельный,Вторичный рынок,834.88,35900.0,69.21079381,41.28491483,True,0.003283824588036687
9032,9,72.0,0.0,0.0,3.0,Раздельная,,0.0,,Панельный,Вторичный рынок,638.89,46000.0,69.32618000000001,41.2783,True,0.015634422183120743
9033,6,42.0,0.0,0.0,1.0,,,0.0,Черновая отделка,Кирпичный,Вторичный рынок,559.52,23500.0,69.26226044,41.32468414,True,0.008343634352797433
